Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
Communicable Disease Surveillance System (CoSurv),Faith,,,Public Health Wales,Gov,,,Terminated,nf ,2007,https://www.wales.nhs.uk/sites3/page.cfm?orgid=457&pid=25338,,,,Wales,,,,,https://www.wales.nhs.uk/sites3/page.cfm?orgid=457&pid=25338,"lab, PHOR, clinical",nf,no,yes,no,no,no,communicable diseases,,
Information Bureau for Infectious Disease (IBID),Faith,* this may never have launched...,,Public Health Wales,Gov,,,nf ,2013,nf ,https://www.wales.nhs.uk/sites3/page.cfm?orgid=457&pid=62054,,,,Wales,,,,,https://www.wales.nhs.uk/sites3/page.cfm?orgid=457&pid=62054,"lab, PHOR, clinical",nf,no,yes,no,no,no,communicable diseases,"designed as a replacement for CoSurv, supposedly intended for release summer 2013, I can't find any up-to-date info",
"Ministerio del Poder Popular para la Salud, Venezuela",Laura H.,,,Gobierno Bolivariano de Venezuela,Gov,,2002-current,Current,2002,C,http://www.mpps.gob.ve/index.php?option=com_content&view=article&id=411&Itemid=692,Venezuela,,,Venezuela,,,,,http://www.mpps.gob.ve/index.php?option=com_content&view=article&id=411&Itemid=692,NF*,nf,NF,yes,no,no,,"Dengue, Malaria, Hepatitis, Varicella, Chickenpox ",,
Emergint Data Collection and Transformation System (DCTS),,KEEP,ZG-yes,"Emergint, Inc. (Now CACI)",FP,"A commerical, off-the-shelf program for disease surveillance, not a unique database",,Absorbed,2004,2012,website offline,,,,"United States, United Kingdom",,,,,,"clinical, lab, PHOR",nf,no,yes,no,no,no,nonspecific,,
Guillan-Barré Syndrome (GBS) Surveillance project,Faith,,,California Department of Public Health,Gov,,2009-2011,Terminated,2009,2011,https://www.cdph.ca.gov/HealthInfo/discond/Pages/GBSsurveillance.aspx,,,California ,United States ,,,,,https://www.cdph.ca.gov/HealthInfo/discond/Pages/GBSsurveillance.aspx,"clinical, lab",nf,,yes,no,no,,Guillain-Barré Syndrome,,
California Rare Diseases Surveillance Program (CRDS),Faith,,,California Department of Public Health,Gov,,,Current,2002,C,http://www.ehib.org/page.jsp?page_key=1196,,,California ,United States ,,,,,http://www.ehib.org/page.jsp?page_key=1196,NF,nf,,yes,no,no,,nonspecific (rare diseases),"NIH defines rare diseases as those that impact fewer than 200,000 in the US at any one time",
Community Acquired Pneumonia Surveillance (CAP),Faith,,,CT Emerging Infections Program,NP,,,NF ,NF,NF,http://publichealth.yale.edu/eip/projects/completed/,,greater New Haven area ,Connecticut ,United States ,,,,,http://publichealth.yale.edu/eip/projects/completed/,NF,nf,,yes,no,no,,pneumonia,,
Communicable Disease Reporting and Surveillance System,Olivia W.,,Robyn,New Jersey Department of Health,Gov,,,Current ,2001,C ,,,,New Jersey,United States,,All 84 actue care hospitals with EDs statewide,ED visits and admissions,,https://cdrs.doh.state.nj.us/cdrss/login/login.jsp,clinical,nf,,yes,no,no,,nonspecific,,
Arctic Investigations Program,Faith,,,Centers for Disease Control and Prevention (CDC),Gov,,1998-current,Current ,1998,C ,http://www.cdc.gov/24-7/savinglives/diphtheria/cdc_investigations.html,,,Alaska,United States,,,,,http://www.cdc.gov/ncezid/dpei/aip/,"clinical, lab",nf,,yes,NF,NF,,"Hepatitis, HPV, Influenza (all strains, seasonal and pandemic), Streptococcal Sore Throat (Strep Throat)",,
Lightweight Epidemiology Advanced Detection and Emergency Response System (LEADERS),Olivia W.,done,Robyn,Defense Advanced Research Projects Agency & US Air Force,Gov,,"1999- Deployed by miliatary worldwide since 1998, 1999 World Trade Organization Summit, 2000 Republic and Democratic National Conventions, President Inaugural Activities, the Super Bowl (in 2001 system was transferred to commercial sector as a course of data for subscribers)",Absorbed,1999,2001,http://www.springer.com/cda/content/document/cda_downloaddocument/9781441912770-c1.pdf?SGWID=0-0-45-855352-p173917743,,,,United States,,,critical medical incidents,,http://proceedings.spiedigitallibrary.org/proceeding.aspx?articleid=886299,"clinical, lab",nf,,NF,NF,NF,,nonspecific,"1999 World Trade Organization
  Summit, the 2000 Republican and Democratic National Conventions, the Presidential Inaugural Activities, and the Super Bowl, Portions of Leader have been deployed world wide",
Virginia Department of Health,Laura H.,,,Virginia Department of Health ,Gov,,2004-current,Current,2004,C,http://www.vdh.state.va.us/Epidemiology/Surveillance/,United States,,Virginia,United States,,,,,"http://www.vdh.state.va.us/Epidemiology/Surveillance/
http://www.vdh.state.va.us/Epidemiology/Surveillance/SurveillanceData/AnnualReports/Reports/Intro2013.pdf","clinical, lab, PHOR",nf,no,yes,no,no,,nonspecific,,
Nevada Public Health Preparedness (PHP),Laura H.,,,Nevada Division of Public and Behavioral Health (NV DPBH),Gov,Can't find specific system,2002-2006,Terminated ,2002,2006,http://dpbh.nv.gov/Programs/PHP/PHP_-_Home/,United States,,,United States,,,,,http://dpbh.nv.gov/Programs/PHP/PHP_-_Home/,NF,nf,,yes,no,no,,"anthrax, smallpox, plague, pandemic influenza","also surveys/prepares for natural disasters, chemical agents, nuclear radiation, mass casualties/explosions/injuries",
Oregon Acute and Communicable Disease Prevention Section,Laura H.,,,Oregon Health Authority (OHA) ,Gov,,2003-2013,Terminated,2003,2013,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/Pages/index.aspx,Oregon,,Oregon,United States,,,,,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/Pages/index.aspx,NF,nf,no,yes,no,no,,"Influenzae, Streptococcus, Haemophilus, Neisseria meningitidis, Staphococcus",,
South Carolina Acute Disease Epidemiology,Laura H.,,,South Carolina Department of Health and Environmental Control (DHEC),Gov,,,Current,2004,C,http://www.scdhec.gov/Agency/DirectoryofDHECProgramsDivisions/,,,South Carolina,United States,,,,,http://www.scdhec.gov/Agency/DirectoryofDHECProgramsDivisions/,NF,nf,no,yes,no,no,,nonspecific,,
Joint Warning Network (JWARN),Faith,,,"Northrup Grumman, US Military","Gov, FP",,,Current,1997,C,http://www.globalsecurity.org/military/library/budget/fy2001/dot-e/other/01jwarn.html,,,,United States,,,,,http://www.dote.osd.mil/pub/reports/FY2012/pdf/dod/2012jwarn.pdf,NF*,nf,no,no,no,no,,chemical agents?,http://fas.org/man/dod-101/sys/land/wsh2013/204.pdf,
Foodborne Disease Outbreak Investigation System (FDOIS),Laura H.,,,"Palantir Technologies, Centers for Disease Control and Prevention (CDC)",Gov,,,nf ,2010,nf ,http://fdois.palantir.com/CDC_Video/,,,,United States,,,,,http://fdois.palantir.com/CDC_Video/,"other surveillance systems, PHOR",nf,no,yes,no,yes,,foodborne illness,,
North Carolina Electronic Disease Surveillance System (NC EDSS),Faith,,,"North Carolina Division of Public Health (NC DPH), North Carolina Department of Health and Human Services",Gov,,2011-2013,Terminated ,2011,2013,http://epi.publichealth.nc.gov/cd/about/ncedss.html,,,North Carolina,United States,,,,,http://epi.publichealth.nc.gov/cd/about/ncedss.html,"other surveillance systems, PHOR, lab, clinical",nf,no,yes,no,no,,nonspecific,,
Congenital Syphilis: UK Surveillance,Faith,,,Public Health England,Gov,,,Terminated,2010,2014,https://www.gov.uk/government/publications/congenital-syphilis-uk-surveillance,,,,United Kingdom,,,,,https://www.gov.uk/government/publications/congenital-syphilis-uk-surveillance,clinical,nf,,yes,no,no,,Congenital syphilis,,
Welsh Assembly Health Page,Laura H.,,,The Welsh Government,Gov,,,Terminated,2002,2014,http://gov.wales/topics/health/?lang=en,United Kingdom,,Wales,United Kingdom,,,,,http://gov.wales/topics/health/?lang=en,,nf,,nf,nf,nf,,NF,,
"Weekly Epidemiological Bulletin, Ministry of Health, Uganda",Laura H.,,,"Ministry of Health, Uganda",Gov,,2009-current,Current,2009,C,http://health.go.ug/mohweb/?page_id=1294,Uganda,,,Uganda,,,,,http://health.go.ug/mohweb/?page_id=1294,nf,nf,,yes,no,no,,"Cholera, Dengue, Malaria, Measles, Meningitis, Plague, Tetanus, Typhoid, Yellow Fever",,
T. C. Saglik Bakanligi/Ministry of Health Health Journal of EU and Foreign Affairs,Laura H.,,,The Turkish Government,Gov,,,Current,2013,C,http://www.saglik.gov.tr/TR/ana-sayfa/1-0/20150629.html,Turkey,,,Turkey,,,,,http://www.saglik.gov.tr/TR/ana-sayfa/1-0/20150629.html,NF,nf,,yes,no,no,NF,NF,website doesn't translate correctly,
Thailand Bureau of Epidemiology,Laura H.,* impossible set-up,,Thailand Bureau of Epidemiology,Gov,,,*,*,*,http://203.157.15.110/nphss/home.php,Thailand,,,Thailand,,,,,http://203.157.15.110/nphss/home.php,NF,nf,,yes,no,no,,nonspecific,,"AEFI, Acute Flaccid Paralysis, Anthrax, Chickenpox, Chikungunya, Cholera, D.H.F., D.H.F.shock syndrome, Dengue fever, Diarrhoea, Diphtheria, Dysentery, Encephalitis, Eosinophilic Meningitis, Filariasis, Food Poisoning, H.conjunctivitis, Hand foot and mouth disease, Hepatitis A, Hepatitis B, Hepatitis E, Hepatitis, Influenza, Japanese B encephalitis, Kala azar, Leptospirosis, Malaria, Measles, Measles c Complication, Melioidosis, Meningitis, Meningococcal Meningitis, Mumps, Mushroom poisoning, Paratyphoid, Pertussis, Pneumonia, Poliomyelitis, PUO, Rabies, Rubella, Scarlet fever, Scrub Typhus, Streptococcus suis, Tetanus, Trichinosis, Typhoid, Enteric fever, Measles, Occupational diseases, STI, Tetanus inc.Neo, Tuberculosis, Chancroid, Condyloma Acuminata, Genital Herpes Simplex, Gonorrhoea, L.G.V.&other&unsp.V.D., N.S.U./V, Syphilis, Cassava poisoning, Snake bite, Amoebiasis other organ, Capillariasis, Drug poisoning, Enteric fever, Gas vapor poisoning, Hepatitis C, Hepatitis D, Herpes zoster, Lead poisoning, Leprosy, Liver fluke, Mn/Hg/As poisoning, Pesticide poisoning, Petroleum poisoning, Physical Hazard, Pneumoconiosis, Reye syndrome, Suicide, Tropical ulcer"
Malaria Case Notification (MCN),Olivia W.,,,U.S. Agency for International Development’s Tanzania Vector Control Scale-up Project (TVCSP),Gov,,,Current,2012,C,http://globalhealthsciences.ucsf.edu/sites/default/files/content/ghg/mei-surveillance-systems-to-facilitate.pdf,,,Zanzibar,Tanzania,,,mobile reporting,,http://globalhealthsciences.ucsf.edu/sites/default/files/content/ghg/mei-surveillance-systems-to-facilitate.pdf,clinical,nf,no,yes,no,no,,malaria,"With the decline of malaria cases, MCN was started in 2012, which enables follow-up of all malaria cases, testing and treatment of household contacts and provision of preventive interventions and health information",
Syrian Arab Republic Weekly Bulletin,Laura H.,,,World Health Organization (WHO) ,Gov,,2012-current,Current,2012,C,http://www.emro.who.int/syr/publications-other/weekly-bulletin.html,Syria,,,Syria,,,,,http://www.emro.who.int/syr/publications-other/weekly-bulletin.html,PHOR,nf,,yes,no,no,,"Cholera, Influenza (all strains, seasonal and pandemic), Malaria, Measles, Meningitis, Rubella, Tetanus, Hepatitis, Rabies ",,
"EWARS Weekly Bulletin, Syrian Ministry of Health",Laura H.,,,"Ministry of Health, Syria ",Gov,,2012-2014,Terminated,2012,2014,http://www.moh.gov.sy/Default.aspx?tabid=246&language=en-US,Syria (Syrian Arab Republic),,,Syria,,,,,http://www.moh.gov.sy/Default.aspx?tabid=246&language=en-US,"PHOR, clinical, lab",nf,,yes,no,no,,"Cholera, Diarrhea, Influenza (all strains, seasonal and pandemic), Malaria, Measles, Meningitis, Hepatitis, viral, Rabies",,
Smittskyddsinstitutet/ Swedish Institute for Infectious Disease Control,Laura H.,,,Swedish Ministry of Health,Gov,"organization performing surveillance, not a surveillance system",Absorbed into Public Health Agency of Sweden,Absorbed,NF,2014,http://www.folkhalsomyndigheten.se/valkommen/,Sweden,,,Sweden,,,,,http://www.folkhalsomyndigheten.se/valkommen/,NF,nf,,nf,nf,nf,,NF,replaced/absorbed - website no longer online,
Folkhälsomyndigheten - Public Health Agency of Sweden,Laura H.,,,"Ministry of Health and Social Affairs, Sweden ",Gov,,2014-current,Current,2014,C,http://www.folkhalsomyndigheten.se/about-folkhalsomyndigheten-the-public-health-agency-of-sweden/,Sweden,,,Sweden,,,,,http://www.folkhalsomyndigheten.se/about-folkhalsomyndigheten-the-public-health-agency-of-sweden/,NF-requires translation,nf,,yes,no,no,,"Anthrax, Botulism, Brucellosis, Chikungunya Fever, Cholera, Creutzfeldt Jakob Disease, Dengue, DHF, Ebola, HIV/AIDS, Lassa Fever, Legionnaire's Disease, Leptospirosis, Malaria, Measles, Mumps, Norovirus, Plague, Poliomyelitis, Psittacosis, Q-fever, Rubella, Salmonellosis, Severe Acute Respiratory Syndrome (SARS), Shigellosis, Syphilis, Tuberculosis, Tetanus, Trichinosis, Tularemia, Typhoid, Yellow Fever, Campylobacteriosis, Hepatitis, Rabies, Clostridium difficile, Pertussis",,
Sistema de Vigilancia de la Gripe en España (SVGE),Faith,,,Instituto de Salud Carlos III ,Gov ,,,Current,2003,C,http://vgripe.isciii.es/gripe/inicio.do,Spain,,,Spain,,,,,http://vgripe.isciii.es/gripe/inicio.do,"lab, clinical",nf,,yes,no,no,,Influenza,,
Ministerio de Sanidad y Consumo/Ministry of Health and the Consumer,Laura H.,,,"Ministry of Health, Social Services, and Equality",Gov,,,Current,2006,C,http://www.msssi.gob.es/estadEstudios/estadisticas/sisInfSanSNS/home.htm,Spain,,,Spain,,,,,http://www.msssi.gob.es/estadEstudios/estadisticas/sisInfSanSNS/home.htm,NF,nf,,yes,no,no,,nonspecific (reportable diseases),,
National Institute for Communicable Diseases,Laura H.,,,"European Centre for Disease Protection and Control (ECDC), World Health Organization (WHO), Centers for Disease Control and Prevention (CDC), National Health Laboratory Service ",Gov,,,Current,nf ,C,http://www.nicd.ac.za/?page=about_us&id=49,,,,South Africa,,,,,http://www.nicd.ac.za/?page=about_us&id=49,NF,nf,,yes,no,no,,"Cholera, Diarrhea, HIV/AIDS, Measles, Poliomyelitis, Q-fever/Balkan grippe, Rubella, Salmonellosis, Tuberculosis",,
Healthcare Associated Infection Prevalence Study,Faith,,,Health Protection Scotland,Gov,,,nf ,nf ,nf ,http://www.hps.scot.nhs.uk/haiic/amr/ssdetail.aspx?id=109,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/haiic/amr/surveillancesystems.aspx,clinical,nf,,yes,no,no,,healthcare associated infections,,
Meningococcal Invasive Disease Augmented Surveillance (MIDAS),Faith,,,Health Protection Scotland,Gov,,,Current,1999,C,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,clinical,nf,,yes,no,no,,meningococcal disease,,
Enhanced Surveillance of Legionella Infection in Scotland,Faith,,,Health Protection Scotland,Gov,,,Terminated,1994,2012,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/resp/surveillancesystems.aspx#,"lab, clinical",nf,,yes,no,no,,Legionnaire's disease; Pontiac fever,,
Unlinked anonymous HIV testing of dried blood samples from newborn infants (the Guthrie study),Faith,,,Health Protection Scotland,Gov,,,Terminated,1990,2009,http://www.hps.scot.nhs.uk/bbvsti/ssdetail.aspx?id=52,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/bbvsti/surveillancesystems.aspx,NF,nf,,yes,no,no,,HIV/AIDS,,
Unlinked anonymous HIV testing of syphilis serology specimens from genitourinary medicine clinic attenders,Faith,,,Health Protection Scotland,Gov,,,Terminated,1991,2008,http://www.hps.scot.nhs.uk/bbvsti/ssdetail.aspx?id=53,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/bbvsti/surveillancesystems.aspx,NF,nf,,yes,no,no,,HIV/AIDS,,
Outbreaks of Infectious Intestinal Disease in Scotland,Faith,,,Health Protection Scotland,Gov,,,Terminated,nf ,2008,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=131,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,NF,nf,,yes,no,no,,infectious intestinal disease,,
Listeria Surveillance in Scotland,Faith,,,Health Protection Scotland,Gov,,,Current,2002,C,http://www.hps.scot.nhs.uk/giz/ssdetail.aspx?id=46,,,,Scotland,,,,,http://www.hps.scot.nhs.uk/giz/surveillancesystems.aspx,NF,nf,,yes,no,no,,Listeria,,
Poland National Institute of Public Health (NIPH-NIH),Laura H.,,,National Institute of Hygiene,Gov,,1918-2009,Terminated,1918,2009,http://www.pzh.gov.pl/page/index.php?id=20&L=fsafppmve%22,,,,Poland,,,,,http://www.pzh.gov.pl/page/index.php?id=20&L=fsafppmve%22,"clinical, lab",nf,no,yes,no,no,,"Anthrax, botulism, brucellosis, cholera, Creutzfeldt Jakob Disease, diarrhea, diphtheria, giardiasis, glanders, shigellosis, smallpox, tuberculosis, tularemia, typhoid, cryptosporidiosis, varicella, chickenpox",,
"Department of Health, Philippines",Laura H.,,,"Department of Health, Philippines ",Gov,,1993-current,Current,1993,C,http://www.doh.gov.ph/disease-surveillance.html,Philippines,,,Philippines,,,,,http://www.doh.gov.ph/disease-surveillance.html,PHOR,nf,,yes,no,no,,"Dengue, Measles, Influenza, Leptospirosis, Neonatal Tetanus",,
